Sr.No,Class Name,Line Coverage,Mutation Score,Line Coverage decimal,Mutation Score Decimal
388,EquationsMapper,86,100,0.86,1
601,Erf,99,86,0.99,0.86
239,Euclidean1D,100,100,1,1
264,Euclidean2D,100,100,1,1
247,Euclidean3D,100,100,1,1
363,EuclideanDistance,100,100,1,1
607,EuclideanDoublePoint,89,79,0.89,0.79
608,EuclideanIntegerPoint,89,79,0.89,0.79
431,EulerFieldIntegrator,100,100,1,1
432,EulerFieldStepInterpolator,100,40,1,0.4
433,EulerStepInterpolator,100,87,1,0.87
202,EvaluationRmsChecker,80,100,0.8,1
402,EventFilter,91,63,0.91,0.63
403,EventState,89,82,0.89,0.82
184,ExceptionContext,99,98,0.99,0.98
23,Exp,50,0,0.5,0
389,ExpandableStatefulODE,89,89,0.89,0.89
24,Expm1,50,33,0.5,0.33
374,ExponentialDecayFunction,100,93,1,0.93
136,ExponentialDistribution,94,84,0.94,0.84
670,FastCosineTransformer,100,98,1,0.98
671,FastFourierTransformer,95,96,0.95,0.96
672,FastHadamardTransformer,93,98,0.93,0.98
686,FastMath,97,85,0.97,0.85
687,FastMathCalc,0,0,0,0
688,FastMathLiteralArrays,91,80,0.91,0.8
673,FastSineTransformer,100,98,1,0.98
137,FDistribution,100,93,1,0.93
365,FeatureInitializerFactory,79,63,0.79,0.63
105,FieldBracketingNthOrderBrentSolver,94,71,0.94,0.71
390,FieldEquationsMapper,100,95,1,0.95
404,FieldEventState,77,41,0.77,0.41
391,FieldExpandableODE,100,93,1,0.93
73,FieldHermiteInterpolator,100,92,1,0.92
324,FieldLUDecomposition,99,97,0.99,0.97
392,FieldODEState,100,100,1,1
393,FieldODEStateAndDerivative,100,100,1,1
248,FieldRotation,100,69,1,0.69
459,FieldStepNormalizer,0,0,0,0
249,FieldVector3D,100,82,1,0.82
405,FilterType,95,78,0.95,0.78
4,FiniteDifferencesDifferentiator,100,92,1,0.92
626,FirstMoment,91,69,0.91,0.69
394,FirstOrderConverter,100,100,1,1
225,FixedElapsedTime,73,63,0.73,0.63
226,FixedGenerationCount,82,75,0.82,0.75
25,Floor,100,0,1,0
627,FourthMoment,90,89,0.9,0.89
213,Fraction,97,85,0.97,0.85
214,FractionField,100,100,1,1
215,FractionFormat,84,64,0.84,0.64
603,Frequency,93,83,0.93,0.83
1,FunctionUtils,69,68,0.69,0.68
355,FuzzyKMeansClusterer,83,70,0.83,0.7
602,Gamma,98,86,0.98,0.86
138,GammaDistribution,90,68,0.9,0.68
26,Gaussian,98,93,0.98,0.93
191,GaussianCurveFitter,84,60,0.84,0.6
192,GaussianFitter,79,58,0.79,0.58
547,GaussianFitter,79,58,0.79,0.58
577,GaussianRandomGenerator,100,100,1,1
61,GaussIntegrator,95,100,0.95,1
62,GaussIntegratorFactory,100,100,1,1
203,GaussNewtonOptimizer,92,87,0.92,0.87
511,GaussNewtonOptimizer,97,100,0.97,1
554,GaussNewtonOptimizer,90,100,0.9,1
227,GeneticAlgorithm,87,59,0.87,0.59
139,GeometricDistribution,90,91,0.9,0.91
628,GeometricMean,83,65,0.83,0.65
434,GillFieldIntegrator,100,100,1,1
435,GillFieldStepInterpolator,100,100,1,1
436,GillStepInterpolator,100,100,1,1
665,GLSMultipleLinearRegression,88,67,0.88,0.67
5,GradientFunction,100,100,1,1
486,GradientMultivariateOptimizer,100,100,1,1
437,GraggBulirschStoerIntegrator,99,78,0.99,0.78
438,GraggBulirschStoerStepInterpolator,93,88,0.93,0.88
650,GTest,98,90,0.98,0.9
140,GumbelDistribution,83,67,0.83,0.67
578,HaltonSequenceGenerator,100,96,1,0.96
193,HarmonicCurveFitter,98,71,0.98,0.71
194,HarmonicFitter,99,71,0.99,0.71
