Sr.No,Class Name,Line Coverage,Branch Coverage,Branch Missed,Branch Missed+Covered,BranchCoveragePercentageDecimal,BranchCoveragePercentage
308,SchurTransformer,189,83,7,90,0.9222222,92.22222
687,SearchInterval,12,3,3,6,0.5,50
667,SecantSolver,26,9,1,10,0.9,90
84,SecondMoment,20,2,0,2,1,100
493,Segment,8,0,0,0,0,0
621,Segment,16,2,2,4,0.5,50
88,SemiVariance,32,12,0,12,1,100
114,Sigmoid,28,8,0,8,1,100
117,Signum,2,0,0,0,0,0
426,SimpleBounds,6,0,0,0,0,0
660,SimpleBounds,11,0,0,0,0,0
406,SimpleCurveFitter,24,2,0,2,1,100
418,SimplePointChecker,21,10,2,12,0.8333333,83.33333
658,SimplePointChecker,21,10,2,12,0.8333333,83.33333
14,SimpleRegression,179,80,44,124,0.6451613,64.51613
4,SimpleUnivariateValueChecker,16,8,2,10,0.8,80
693,SimpleUnivariateValueChecker,16,9,1,10,0.9,90
417,SimpleValueChecker,16,9,1,10,0.9,90
655,SimpleValueChecker,16,9,1,10,0.9,90
421,SimpleVectorValueChecker,21,12,0,12,1,100
652,SimpleVectorValueChecker,21,12,0,12,1,100
331,SimplexOptimizer,33,17,1,18,0.9444444,94.44444
633,SimplexOptimizer,36,19,3,22,0.8636364,86.36364
26,SimplexSolver,82,54,0,54,1,100
224,SimplexSolver,101,61,3,64,0.953125,95.3125
28,SimplexTableau,178,117,11,128,0.9140625,91.40625
227,SimplexTableau,205,127,11,138,0.9202899,92.028984
208,SimpsonIntegrator,22,7,5,12,0.5833333,58.333332
120,Sin,4,0,0,0,0,0
131,Sinc,50,24,2,26,0.9230769,92.30769
292,SingularValueDecomposition,271,171,13,184,0.9293478,92.934784
132,Sinh,2,0,0,0,0,0
89,Skewness,52,14,2,16,0.875,87.5
503,SmallPrimes,53,30,4,34,0.88235295,88.2353
345,SmoothedDataHistogram,0,0,8,8,0,0
182,SmoothingPolynomialBicubicSplineInterpolator,45,27,5,32,0.84375,84.375
546,SobolSequenceGenerator,86,36,6,42,0.85714287,85.71429
228,SolutionCallback,5,4,0,4,1,100
295,SparseFieldMatrix,24,2,8,10,0.2,20
287,SparseFieldVector,207,76,36,112,0.6785714,67.85714
577,SparseGradient,247,106,6,112,0.9464286,94.64286
327,SpearmansCorrelation,59,27,5,32,0.84375,84.375
